esp,ing
reservado,reserved
el respeto,respect
respecto a,respecting
regreso,return
rima,rhyme
paseo,ride
ridículo,ridiculous
DEP,rip
arrancado,ripped
laminación,rolling
techo,roof
habitación,room
rutina,routine
rhowoooaaaw,rrwoooaaaw
correr,run
corriendo,running
carreras,runs
oxidado,rusted
sacrificio,sacrifice
seguro,safe
dijo,said
salario,salary
salvar,save
decir,say
cicatrices,scars
olor,scent
rascarse,scratching
gritar,scream
sello,seal
buscar,search
secreto,secret
ver,see
parece,seems
visto,seen
enviar,send
enviando,sending
servido,served
conjunto,set
sedimenta,settles
sombra,shadow
sacudida,shaking
agudo,sharp
mierda,shit
choque,shock
Zapatos,shoes
tienda,shop
Disparo,shot
disparos,shots
debería,should
gritar,shout
espectáculo,show
mostró,showed
estremecimiento,shudder
cerrar,shut
enfermos,sick
lado,side
firmado,signed
silencio,silent
soltero,single
sentar,sit
habilidad,skill
piel,skin
cielo,sky
dormir,sleep
durmiente,sleeper
Delgado,slim
deslizamiento,slizzle
tortazo,smack
inteligente,smart
oler,smell
fumar,smoke
asi que,so
algunos,some
alguien,somebody
alguien,someone
alguna cosa,something
a veces,sometimes
canción,song
pronto,soon
alma,soul
sonar,sound
chispa,spark
hablar,speak
habla,speaks
derramar,spilling
girar,spin
espíritu,spirit
escupir,spit
despecho,spite
esporádico,sporadic
lugar,spot
manchas,spots
estar,stand
estrella,star
comienzo,start
empieza,starts
estático,static
estado,status
permanecer,stay
corsé,stays
paso,step
todavía,still
estola,stole
destacado,stood
detener,stop
tormenta,storm
historia,story
fuerza,strength
fuerte,strong
más fuerte,stronger
golpeado,struck
atascado,stuck
más estúpido,stupidest
estilos,styles
sufrimiento,suffering
sofocar,suffocate
Por supuesto,sure
sobrevivir,survive
intercambiar,swap
sudor,sweat
dulce,sweet
entonces,tak
tomar,take
tomado,taken
tomando,taking
hablando,talking
negociaciones,talks
alto,tall
probado,tasted
lágrima,tear
lágrimas,tears
dientes,teeth
contar,tell
este,ten
prueba,test
que,than
ese,that
el,the
su,their
ellos,them
entonces,then
ahí,there
estas,these
ellos,they
Delgado,thin
cosa,thing
cosas,things
pensar,think
pensando,thinking
esta,this
aquellos,those
aunque,though
pensamiento,thought
pensamientos,thoughts
amenaza,threat
garganta,throat
mediante,through
lanzar,throw
trueno,thunder
garrapata,tick
estrechamente,tightly
para,till
hora,time
veces,times
cansado,tired
a,to
juntos,together
dicho,told
lengua,tongue
esta noche,tonight
también,too
tomó,took
parte superior,top
toques,touches
pista,track
tratar,treat
viaje,trip
problema,trouble
confianza,trust
verdad,truth
tratar,try
molesto,trying
giro,turn
convertido,turned
veinte,twenty
tipo,type
típico,typical
feo,ugly
debajo,under
debajo,underneath
se desarrolla,unfolds
a no ser que,unless
diferente a,unlike
hasta,until
arriba,up
sobre,upon
UPS,ups
nos,us
Valle,valley
venganza,vengeance
veneno,venom
Vietnam,vietnam
visión,vision
voz,voice
prometido,vowed
Espere,wait
esperando,waiting
despertar,wake
caminar,walk
para caminar,walking
muros,walls
quiero,wanna
querer,want
quiere,wants
advertencia,warning
estaba,was
agua,water
olas,waves
camino,way
nosotros,we
débiles,weak
vestir,wear
vistiendo,wearing
Bienvenido,welcome
bien,well
fueron,were
Oeste,west
mojado,wet
golpear,whack
qué,what
cuando,when
dónde,where
si,whether
mientras,while
quien,who
Whoa,whoa
todo,whole
por qué,why
será,will
complaciente,willing
con,with
dentro,within
sin,without
ingenio,wits
mujer,women
palabra,word
palabras,words
trabajo,work
trabajos,works
mundo,world
peor,worse
valor,worth
haría,would
herida,wound
escribir,write
escribe,writes
escritura,writing
escrito,written
incorrecto,wrong
escribió,wrote
sí,yeah
años,years
todavía,yet
tú,you
tu,your
tú mismo,yourself
de,z
